ppnr,cond,spacex2,spacex3,spacex4,trial,category,categ,feature1,feature2,feature3,feature4,timeinstructions,count,set,x1,x2,x3,x4,x1_,x2_,x3_,x4_,rating,timerating,age,gender,sat,date,time
1,1,uni,acc,dec,26,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,8,9,2,2,2,2,$105 ,"$30,000 ","$7,500 ",$750 ,60,4.041,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,27,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,9,15,3,2,1,2,$150 ,"$30,000 ","$5,000 ",$750 ,30,6.693,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,28,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,10,11,2,3,1,2,$105 ,"$50,000 ","$5,000 ",$750 ,30,9.391,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,29,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,11,18,3,3,3,3,$150 ,"$50,000 ","$15,000 ","$1,000 ",40,4.446,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,30,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,12,5,1,3,2,3,$60 ,"$50,000 ","$7,500 ","$1,000 ",85,5.944,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,31,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,13,3,1,2,1,3,$60 ,"$30,000 ","$5,000 ","$1,000 ",85,1.528,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,32,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,14,8,2,1,3,1,$105 ,"$10,000 ","$15,000 ",$0 ,0,3.105,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,33,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,15,6,1,3,3,2,$60 ,"$50,000 ","$15,000 ",$750 ,70,4.415,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,34,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,16,16,3,2,2,1,$150 ,"$30,000 ","$7,500 ",$0 ,20,8.315,23,F,0,10/28/2013,1:41:00_PM
1,1,uni,acc,dec,35,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,17,10,2,2,3,3,$105 ,"$30,000 ","$15,000 ","$1,000 ",40,5.21,23,F,0,10/28/2013,1:42:00_PM
1,1,uni,acc,dec,36,Insurance,2,Insurance_premium,Liability_coverage,Comprehensive_and_collision_coverage,Deductible,14.882,18,4,1,2,3,1,$60 ,"$30,000 ","$15,000 ",$0 ,,6.193,23,F,0,10/28/2013,1:42:00_PM
1,1,uni,acc,dec,37,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,1,6,1,3,3,2,$300 ,60_inch,8,70,30,12.854,23,F,0,10/28/2013,1:42:00_PM
1,1,uni,acc,dec,38,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,2,14,3,1,3,2,$900 ,32_inch,8,70,20,10.374,23,F,0,10/28/2013,1:42:00_PM
1,1,uni,acc,dec,39,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,3,13,3,1,2,3,$900 ,32_inch,4,90,20,1.981,23,F,0,10/28/2013,1:42:00_PM
1,1,uni,acc,dec,40,TV,3,Price,Screen_size,Number_of_devices,Repair_rating,19.641,4,18,3,3,3,3,$900 ,60_inch,8,90,2,1.342,23,F,0,10/28/2013,1:42:00_PM
