mturkcode,mturkcode2,labels,spacing,pizza1,pizza2,pizza3,gender,age,education,income,englishfirst
98774,48,no,acc,13,15,18,2,23,4,3,1
67391,49,no,acc,14,16,20,1,24,6,4,1
90753,50,no,uni,1,2,3,1,20,3,6,1
40057,51,no,uni,5,7,9,2,19,3,1,1
73825,52,no,uni,5,10.99,16.99,2,26,3,1,1
47900,53,no,uni,5,9,15,1,27,3,5,1
99068,54,no,uni,7,12,15,2,27,4,4,1
68745,55,no,uni,8,10,15,1,25,4,5,1
64945,56,no,uni,8,10,12,1,22,3,3,1
64219,57,no,uni,8,10,14,2,29,4,2,1
78257,58,no,uni,9,12,14,1,28,3,2,1
58785,59,no,uni,9,12,15,1,33,3,1,1
28886,60,no,uni,9,11,13,1,21,2,2,1
29170,61,no,uni,10,12,15,1,25,3,4,1
85394,62,no,uni,10,13,16,1,25,3,3,1
39223,63,no,uni,10,12,15,1,19,3,4,1
7174,64,no,uni,10,14,16,1,23,3,1,1
83232,65,no,uni,10,20,24,2,26,4,4,1
83357,66,no,uni,10,15,20,1,33,4,4,1
90219,67,no,uni,11,14,19,1,27,4,3,1
46450,68,no,dec,0,0,0,1,30,4,1,1
91962,69,no,dec,0,0,0,1,24,4,3,1
28122,70,no,dec,4,6,8,1,34,3,1,1
38529,71,no,dec,5,7,9,1,38,3,2,1
65569,72,no,dec,5,10,14,2,38,3,2,1
70228,73,no,dec,5,9,11,1,25,3,2,1
64571,74,no,dec,5,8,9,1,23,2,2,1
29178,75,no,dec,5,7,8,1,26,2,1,1
67987,76,no,dec,5,7,7.5,1,19,3,1,1
30671,77,no,dec,5,8,12,1,21,4,3,1
32481,78,no,dec,5,7,10,1,22,2,1,2
35010,79,no,dec,5,8,9,1,55,3,1,1
38823,80,no,dec,5,7,9,1,28,3,2,1
46435,81,no,dec,6,10,12,2,35,4,2,1
43728,82,no,dec,6,10,14,1,24,4,3,1
19283,83,no,dec,6,8,12,1,23,4,4,1
81852,84,no,dec,7,10,12,1,25,4,3,1
55009,85,no,dec,7,9,11,2,25,5,2,1
90606,86,no,dec,7,10,12,1,23,4,1,1
16163,87,no,dec,7,10,13,2,23,4,3,1
25576,88,no,dec,7,12,15,2,32,3,4,1
53937,89,no,dec,7,10,11,1,32,5,4,1
46218,90,no,dec,7,10,15,1,24,1,1,2
43629,91,no,dec,7,12,14,2,35,3,3,1
44583,92,no,dec,8,12,15,1,20,3,1,1
43494,93,no,dec,8,14,16,1,25,3,4,1
96023,94,no,dec,8,12,15,1,35,4,3,1
