Duration (in seconds),b_wtp3,b_wtp2,b_wtp1,b_qual3,b_qual2,b_qual1,c_wtp3,c_wtp2,c_wtp1,c_qual3,c_qual2,c_qual1,a_wtp3,a_wtp2,a_wtp1,a_qual3,a_qual2,a_qual1,Q35,Q52,Q54_1,Q56,Q58,Q60,Q64,mturkcode
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,190,125,12,9,5,3,1,54,5,3,3,1,41865
56,200,150,80,10,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,30,5,3,2,1,46249
42,NA,NA,NA,NA,NA,NA,900,700,300,13,9,4,NA,NA,NA,NA,NA,NA,5,1,19,5,3,1,1,8897
44,500,300,80,12,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,21,3,3,3,1,85706
55,NA,NA,NA,NA,NA,NA,350,280,120,13,11,2,NA,NA,NA,NA,NA,NA,3,1,29,5,2,1,1,2430
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,125,50,13,9,5,2,2,31,5,2,4,1,58333
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,350,250,13,7,4,2,1,31,5,3,2,1,60058
73,NA,NA,NA,NA,NA,NA,150,99,75,13,7,1,NA,NA,NA,NA,NA,NA,3,2,32,5,2,3,1,57229
47,200,125,75,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,31,6,4,2,2,95008
50,NA,NA,NA,NA,NA,NA,250,150,89,13,11,4,NA,NA,NA,NA,NA,NA,1,2,29,"2,5",3,3,1,62508
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,25,20,11,8,5,1,1,23,5,3,1,1,72489
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,50,25,9,5,3,2,1,29,5,6,2,1,30152
99,350,200,75,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,31,5,5,4,1,92813
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,200,150,13,9,6,4,1,18,2,3,4,1,82718
83,NA,NA,NA,NA,NA,NA,175,150,50,10,9,3,NA,NA,NA,NA,NA,NA,2,1,18,2,2,5,1,56958
74,NA,NA,NA,NA,NA,NA,800,400,75,12,9,2,NA,NA,NA,NA,NA,NA,3,1,24,5,4,1,1,40501
62,600,300,150,13,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,58,2,2,2,2,60350
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,400,200,12,9,7,4,1,29,2,6,5,1,45282
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,100,75,12,10,7,3,2,32,5,3,4,1,76
54,150,100,20,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,24,"2,5",3,2,1,15996
86,NA,NA,NA,NA,NA,NA,300,250,150,13,12,4,NA,NA,NA,NA,NA,NA,3,1,32,5,3,3,1,91043
90,45,30,20,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,22,3,3,2,1,72774
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,200,150,13,9,8,1,2,25,5,3,4,1,6540
73,NA,NA,NA,NA,NA,NA,450,400,75,11,10,4,NA,NA,NA,NA,NA,NA,3,2,27,5,6,4,1,41725
74,150,100,50,13,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,27,5,5,1,1,58556
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,199,150,12,9,4,2,2,23,5,4,4,1,28714
68,NA,NA,NA,NA,NA,NA,200,150,50,13,10,5,NA,NA,NA,NA,NA,NA,3,2,30,5,3,3,1,87490
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,150,100,10,7,6,1,2,24,5,3,5,1,28887
67,69.99,49.99,29.99,11,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,26,5,4,4,1,70170
70,350,299,99,12,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,35,2,4,3,1,53882
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,50,19,10,7,3,3,2,23,5,3,1,1,89621
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,140,130,9,8,7,2,1,31,5,6,1,1,18922
75,NA,NA,NA,NA,NA,NA,159,129,49,11,10,4,NA,NA,NA,NA,NA,NA,4,2,22,5,3,1,1,40325
83,NA,NA,NA,NA,NA,NA,299,250,149,11,10,9,NA,NA,NA,NA,NA,NA,4,1,43,5,5,4,1,85963
60,250,200,100,11,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,37,5,5,5,1,21545
71,NA,NA,NA,NA,NA,NA,200,175,125,13,13,11,NA,NA,NA,NA,NA,NA,3,1,25,5,3,2,1,63126
44,250,150,50,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,25,5,2,1,1,27719
94,500,450,400,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,34,5,1,1,1,81034
